numero;nom;plan_eau;municipalite;mrc;categorie;lat;lon;url_fiche
X2171028;nan;;Sutton;Brome-Missisquoi;Faible contenance;45.144903;-72.558722;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171029;nan;Versailles, Rivière;Saint-Côme;Matawinie;Petit barrage;46.269806;-73.871167;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171035;nan;;Sherbrooke;Ville de Sherbrooke;Faible contenance;45.387389;-72.092861;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171676;nan;;Stoke;Le Val-Saint-François;Faible contenance;45.531556;-71.803083;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171677;nan;;Stoke;Le Val-Saint-François;Faible contenance;45.461361;-71.836444;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171678;nan;Lac à l'Anguille, Ruisseau du;L'Ange-Gardien;Les Collines-de-l'Outaouais;Forte contenance;45.69825;-75.448083;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171679;nan;Trib.46D.59M.24S.-72D.11M.03S.;Rivière-à-Pierre;Portneuf;Petit barrage;46.988972;-72.182556;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171680;nan;MAILLOUX / Trib.46D.15M.18S.-73D.44M.04S.;Saint-Côme;Matawinie;Faible contenance;46.260389;-73.720444;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171681;nan;MAILLOUX;Saint-Côme;Matawinie;Faible contenance (parent);46.262639;-73.722361;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171686;nan;;Trois-Rivières;Ville de Trois-Rivières;Faible contenance;46.325167;-72.604694;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171690;nan;;TNO aquatique de la MRC de Beauharnois-Salaberry;Beauharnois-Salaberry;Faible contenance;45.270833;-74.164167;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171691;nan;;TNO aquatique de la MRC de Beauharnois-Salaberry;Beauharnois-Salaberry;Forte contenance;45.274167;-74.164722;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171692;nan;;TNO aquatique de la MRC de Beauharnois-Salaberry;Beauharnois-Salaberry;Forte contenance (parent);45.277222;-74.161944;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171693;nan;;Coteau-du-Lac;Vaudreuil-Soulanges;Petit barrage;45.280556;-74.160278;https://www.cehq.gouv.qc.ca/barrages/default.asp
